decision_id,agent_id,simulation_run_id,timestamp,decision_type,chosen_option,utility
D001,A001,RUN002,2024-03-15 07:00:00,MODE_CHOICE,carpool,0.82
D002,A002,RUN002,2024-03-15 07:05:00,MODE_CHOICE,drive_alone,0.65
D003,A003,RUN002,2024-03-15 07:10:00,MODE_CHOICE,carpool,0.78
D004,A001,RUN002,2024-03-15 07:00:00,ROUTE_CHOICE,i24_main,0.71
D005,A002,RUN002,2024-03-15 07:05:00,ROUTE_CHOICE,local_roads,0.58
D006,A004,RUN003,2024-03-15 08:00:00,DEPARTURE_TIME,shift_early,0.88
D007,A005,RUN003,2024-03-15 08:05:00,DEPARTURE_TIME,no_shift,0.45
D008,A006,RUN003,2024-03-15 08:10:00,INCENTIVE_RESPONSE,accept,0.92
D009,A007,RUN004,2024-03-15 09:00:00,MODE_CHOICE,transit,0.75
D010,A008,RUN004,2024-03-15 09:05:00,MODE_CHOICE,drive_alone,0.62
D011,A009,RUN001,2024-03-15 06:15:00,MODE_CHOICE,drive_alone,0.55
D012,A010,RUN001,2024-03-15 06:20:00,MODE_CHOICE,drive_alone,0.58
D013,A011,RUN005,2024-03-15 10:00:00,MODE_CHOICE,carpool,0.85
D014,A012,RUN005,2024-03-15 10:05:00,INCENTIVE_RESPONSE,accept,0.90
